titleid,title
851,Emergency services call for help to stop assaults
852,HI-5 at Carols by Candlelight
853,Eligible Bachelors
854,TODAY show preview: Catching up with the Judds
855,Shonky Savas
856,The Color Of Revenge!
857,Attack of the Shortbread witch
858,The Secret Serum
859,Safety First
860,Woodend in the beautiful Macedon Ranges
861,The spa and relaxation capital of Australia
862,How to get the best deals on flights and accommodation
863,Bite Brawl
864,One-punch attack caught on security camera
865,Cold cap technology breakthrough for cancer patients
866,170111_NEWS_ARSON.mp4
867,Heatwave forces total fire bans across Australia and concerns for asthmatics
868,Pain relief
869,Who has more street cred - Toufic or Jahesh?
870,Kim Kardashian armed robbery investigations suggest jewellery heist was an inside job
871,Investigation launched into light plane crash in Central Queensland
872,Julie Bishop and other Liberal MPs under spotlight over recent trips
873,Man tackled in dramatic arrest over Sydney tram graffiti
874,The Fuller House cast plays 'Explainy the Emoji Exploji'
875,Water Park Prank/You Forgot Your Floaties
876,Sleigh watch
877,Be Sweet/Orgalorg
878,Ipswich shopping centre shut down during helicopter solar panel drop-off
879,Episode 188
880,Video of man punching kangaroo to save dog becomes online sensation
881,‘Proof of life’ video sent by Boko Haram for Chibok schoolgirls
882,Australia’s best LEGO builder
883,WACA all access
884,New Hi-5 cast are announced
885, Parents watch as kids destroy artwork
886,Racing greyhounds put up for adoption
887,US President Barack Obama calls for change in farewell preview
888, Police officer shoots roo moments before child scoots past
889,Gambling hotspots
890," Burrumbuttock Hay Runners make record delivery of 13,600 hay bales to Ilfracombe farmers"
891,A Powerful Opponent! Hyper Horusood!
892,"Strong-Armed/Bye, Bye Bellum"
893,A Token Of Our Appreciation
894,"Meet the cool, calm and confident bride"
895, Cheryl Grimmer’s brother breaks down remembering the day she went missing
896,Suspected firebug torches paddocks near suburban Melbourne homes
897,Quolls: Fast And Furious
898,The write stuff
899,Oxygen thief
900, Richard Wilkins interviews Prince
901,Australia’s best beach house
902,Wings for life
903, Journalist injured outside Sydney court
904,Exclusive and Unseen: The post auction celebrations
905,"Roshani, El Chapo"
906,Chris and Kim see their kids for the first time since starting The Block
907,Tips for a successful date
908,Grill'd on the griller
909,Aussie Bond actor George Lazenby admits he doesn’t watch the franchise
910, Game of Thrones actress gives co-star a helping hand on the red carpet
911,Deliberately lit fire traps residents in Adelaide building
912,New treatment for chronic pain sufferers
913,Deadly rain floods across Central Queensland
914,Broken fire hydrant causes Melbourne street to flood
915,Rooftop blows the judges away
916,Light aircraft makes emergency landing at Melbourne’s Moorabbin Airport
917,Centrelink debacle
918, Harry Triguboff on the Australian property market
919,Revenge Of The Swarm
920,Moonstruck
921,Chinese Whispers
922,It's Not Easy Being Gwen
923,Basic Training
924,Howard and Bernadette spy on two home intruders
925,Bathroom Reveals
926, Reckless driver brake checks vehicle
927,"Trapped, Home groans, Sky high"
928,Handy hampers
929,The judges walk through Ben and Andy’s ‘display suite’ living and dining area
930,"Lumumba retires, Saints aiming high"
931,How to win big in competitions
932,Busting sunscreen myths
933,Yolanda Hadid
934,Hugh oversteps his boundaries
935,Joey falls victim to Hugh and Matt’s scheme
936,All the Little People / Bad Little Boy
937,"Living the dream, Not welcome home, Trump"
938,"January 11, 2017"
939,Mariah Carey announces break after NYE stuff-up
940,Nine Plaza unveiled in Perth
941,Gable Tostee's new girlfriend
942,Warp Tour/The Test
943,Summer Specials: Episode 42
944,Arthritis treatment
945,Muslim welfare
946,William Tyrrell
947,Preview Show
948,Two months later: Michelle and James
949,Two months later: Alex and Zoe
950,Finding Terry
951,Farmer Lachlan
952,Man From Mi5
953,Meet the Trotters
954,Inside the derelict former home of the Balmain Tigers
955,Retailers to reap the rewards of legalised recreational marijuana in California
956, Specialised autism haircut service touted a success
957,One Nation Senator-elect has larceny charges annulled
958,Lawrence Mooney nails Malcolm Turnbull impression
959,Fourth terror suspect charged over Christmas Day bomb plot
960,Retire in paradise
961,The Mimiloo Zoo/Bunch O'Boomers
962,Tiara Trouble/Escape From Monster Island
963,Finn the Human / Jake the Dog
964,Titans East (Part 1)
965,Bunny raven or how to make a titananimal disappear
966,Sixteen Brisbane water mains rupture in two days
967,The Mixed Grill: Minister under fire
968,Challenge Apartment Downstairs Rooms Revealed
969,Chronic pain
970,Sheldon struggles opening a champagne bottle
971,Brian Lara on the future of test cricket
972,Future Vision/On The Run
973,Scott & Shelley walk around The Block
974,Man accused of helping dispose Bendigo mother’s body vows to fight charges
975,Laundry Woes/Silver Dude
976, Wedding party disappears in cloud of pink smoke
977,Child injured in Sydney backyard explosion
978,Handwritten Princess Diana notes sold at auction
979,Asthma sufferers could benefit from new approach to treatment
980,Manuka honey
981,Nervous Vanessa
982, Arnold Schwarzenegger is the new Celebrity Apprentice boss
983,Holiday Special
984,Supermarket Rush Challenge
985,The judges walkthrough Will and Karlie’s ‘dramatic’ living and dining area
986,Master Bathrooms Revealed
987,Disasterchef
988,More than a million packed around Sydney Harbour for New Year’s Eve
989,Summer Specials: Episode 43
990,Jimmy Possum Challenge
991, Kayaker has close call with five-metre shark
992,Miss Universe Australia
993,Guest Bedroom Week
994, Shark eats shark at aquarium
995,Superfast 5-G phone network to hit Aussie shores
996,Currency lovers flock to one of Australia’s largest money expos
997, Episode 8
998,Episode 6 & 7
999,"TODAY Highlights: January 5, 2017"
1000,"TODAY Highlights: January 9, 2017"
1001,The Revenge
1002,The Flash tries to corrupt Sheldon with energy drinks
1003,Cricket Australia speak out on ball tampering
1004,Australia’s new look squad
1005,Lost Kingdom
1006,Sara Connor says she’s living a ‘nightmare’
1007, Sara Connor transported to Kerobokan jail
1008,Sara Connor loses bid to throw out murder case in Bali
1009,Atlantic Inferno
1010,End Of The Road
1011,Wed Shed
1012, RPG whistles passes soldier
1013,Money awards
1014, Pentagon tests world’s largest drone swarm
1015,Cracker of a Christmas
1016,Pink sky looms over China
1017,Bridal burnout
1018,Mother charged with murder of Miller toddler
1019,Aldi kitchens
1020, Centrelink debt system mocked in fake ad
1021,Heroes - Friend And Faux Alike!
1022,Travel data deals
1023,Five More Short Graybles / Up a Tree
1024,Deep Water
1025,The Nazi King
1026,Living Debt Free
1027,The clock is ticking for Vanessa
1028,World's Most Expensive Christmas
1029,Seven people drown in NSW in just 48 hours
1030,Homicide detectives investigating disappearance of Bendigo mother
1031,Mums consistently give the funniest reactions to the big news
1032,The ethereal Montsalvat artists’ community
1033,Family caravan taken over by kangaroos
1034,Keep out! Part one
1035,"Maggs Family Home: Dural, NSW"
1036,Scott Cam's final tip before renovating
1037,Keep out! Part two
1038,Will and Karlie take you on a tour of their entire apartment
1039,A Sun Worshipper's Spot
1040,Man allegedly pulls out replica gun during road rage attack in Adelaide
1041, Man racially abuses families on playground
1042,Victims of Hornsby shooting recovering in hospital
1043,Budget beauty
1044,Missing companion dog Simba found just in time for Christmas
1045,Land Rover Discovery - Flyfishing
1046,2017 Holden Colorado (Chevrolet S10) Review
1047,2016 Family 4x4 SUV Comparison: Everest v MU-X v Pajero Sport v Patrol v Fortuner
1048,Comparison: 2016 Porsche Boxster S v Jaguar F-Type V6 S
1049,Person of Interest: Michelle Obama
1050,Body positivity
1051,Hangover Cure
1052,Festive Season Health Risks
1053,‘Baby brain’ could be real
1054,Impact
1055,Nat Bass explains how she balances family and work
1056,Riots at Melbourne youth detention centre
1057,Cruise Deals
1058,Man unfazed by giant eye injury
1059,Patient critical after falling at Central Station
1060,Explore Melbourne with Shaynna Blaze
1061,FishCentre: Yoga
1062,Michelle Bridges opens up about life after The Biggest Loser
1063,Mid-life gap year
1064,Michelle Bridges reveals key to lifelong health
1065,Up From The Depths (Part 2)
1066,Fears popular children’s sunscreen causes severe allergic reactions
1067,The housing market in 2017
1068,Mysteries from one of the most turbulent periods in Queensland history revealed
1069,Quentin Kenihan Uncensored
1070,Australian fitness trainers find success in Hollywood
1071,LA man starts “people walking” business
1072, Hanging man is rescued from suspension bridge
1073,The best road trips these holidays
1074,Fat Cat funds
1075,170111_TDY_GRILL.mp4
1076,Healthy L.A.
1077,The judges walk through Will and Karlie's 'incredible' master suite
1078,The judges walk through Julia and Sasha’s picture perfect living and dining area
1079,Toufic's pick up lines
1080,Keep Beach City Weird/Secret Team
1081,170111_TDY_SCHOOL.mp4
1082,Welcome Aboard
1083,Sparkles Knows Better
1084,The Big Bone
1085,Truck driver dies after being hit by vehicle during Sydney police stop
1086,Downsizing in Florida
1087,Ice Siege
1088, Road testing the Tesla
1089,Around 100 people injured in New York train derailment
1090,Tan in a can
1091,Meet Bailey
1092,Man dead and four in hospital after shocking Ipswich accident
1093,Hawks going all out to reclaim ‘family club’ mantle
1094,Premiership remains the goal for defiant Roos
1095,Meet Shay
1096,Avoiding back pain
1097,Meet Lachie
1098,Meet Joe
1099,Meet Courtney
1100,Medical breakthroughs to look out for in 2017
1101,Jesinta Campbell explains her workout regime
1102,Michael thanks his new bride
1103,The Cold War Files
1104,Bus driver bashed by bikie in Surfers Paradise
1105,Castaways see their loved ones
1106,The Fortrex And The Furious
1107,Married At First Sight: Happy honeymooners
1108,Episode 19
1109,Special (Part 1)
1110,Alex: 'I'm single… Not by choice'
1111,WA high schools to be revamped under state government promise
1112,Tenants who escaped Victoria balcony collapse say warnings were ignored
1113,David Attenborough’s defining masterpiece is coming
1114,Pearls Before Swine
1115, Aggressive Emu chases three cyclists down Canberra road
1116,How to live a calm and decluttered life
1117,Alzheimer's drug
1118,Father of JonBenet Ramsey speaks about his daughter’s death 20 years on
1119,The taxi fairy
1120,Carols By Candlelight
1121,Sydney cocaine bust
1122,Benson's Car/Every Meat Burritos
1123,Masks
1124,Kitchens Completed
1125,Safety fears for Toyota Hilux
1126,Miracle mum
1127,Study And Stairs
1128,Americas
1129,The Mixed Grill: Digital distraction
1130,The world's best brownie recipe revealed after twenty years
1131,  Airport workers “de-ice” plane wing
1132,Exclusive: At home with the Judds
1133,Doctor Doctor announces second season
1134, Injured man lashes out at paramedics
1135,"The Mixed Grill: Wednesday January 11, 2017"
1136,Movie of the Week: Hacksaw Ridge
1137,The first draw of the season
1138,Cometh The Hour
1139,Cowboy Sean
1140,"Where is baby Tegan?, More or less, Off the edge"
1141,Entertainment News: André Rieu
1142,Four ingredients diet
1143,Room Reveal
1144,Man found bound on Sydney street after suspected kidnapping
1145,Westbrook hits referee in head with basketball
1146,Big tech reveals
1147,"The wackiest, coolest and best new gadgets"
1148, Shark circles boat off North Haven
1149,Children 'wandering with blood on them' after Brisbane stabbing
1150,Australia’s best newborn photographer
1151,Marathon man's final act
1152,Jerry Seinfeld questions Liz Hayes on Australia's 'fake accent'
1153,Is Elvis still alive?
1154,"Drama, danger, romance, and more with Dogstar Christmas in Space"
1155,Catch a Falling Star
1156,Straight Illin/Dust Buddies
1157,Knight Out
1158,The judges walk through Julia and Sasha's 'extraordinary’ kitchen
1159,The judges walk through Ben and Andy's ‘cold’ master suite that ‘you could store meat in’
1160,Bedroom renovations continue
1161,How to make a good first impression
1162,Top five tips for a strong relationship
1163,How many times should a couple be having sex a week?
1164,Do opposites really attract?
1165,Men and women are hard-wired to handle conflict differently
1166,Post-romantic stress disorder is breaking Australian couples apart
1167,Airbase to improve firefighting response times in South Australia
1168,Ray Romano introduces bizarre new character
1169,Bec tours Dame Nelly Melba's estate
1170,Homeless man puts Marise Payne on the spot
1171,Life-changing cash call
1172,Demolition and Design
1173,Insta-fame
1174,"TODAY Highlights: January 6, 2017"
1175,Devil Dog
1176, Man loses leg after shooting mower packed with explosives
1177,Mystery surrounds death of exotic dancer at Melbourne strip club
1178,Julia and Sasha take you on a tour of their entire apartment
1179,Golden Globes red carpet
1180,Golden Globes goss
1181,Entertainment news:  Aussie Oscars
1182,QT Port Douglas: The only place to stay
1183,Schools Spectacular
1184,Man given bravery award for truck rescue
1185,170111_TDY_ENEWS.mp4
1186,170111_TDY_MONEY.mp4
1187,170111_TDY_IRWINS.mp4
1188,Fusion Cuisine/Lion 3: Straight to Video
1189,Island Adventure/Alone Together
1190,Backyard block shock
1191,The tragic road deaths that occurred over the holidays
1192,170111_TDY_BEACHSIDE.mp4
1193,It's a night like no other
1194, Moment mother holds her premature baby for first time
1195,Police form task force to bring 1994 Adelaide bomber to justice
1196,Melbourne beaches enable 24-hour access for people with disabilities
1197,Crash investigator offers MH370 theory
1198, Quasimodo the 'hunchback' German shepherd
1199,Owen Hanson threatens gambler RJ Cipriani over missing $2.5m
1200,Airlines announce $99 international flights
1201, Car drives through shopping centre during ram raid in Victoria
1202,170111_RAW_TREEPROTEST.mp4
1203,Liam Bowe stands out for Stars
1204,The social experiment is set for a shake-up
1205,Australia Zoo turns it up a notch for the summer holidays
1206,Back to school on a budget
1207,Soaring childcare costs
1208,Meet the new Ubersaurus
1209,How parents can stop teens from binge drinking
1210,Beachfront living without the hefty price tag
1211,Uninvited Guests
1212,Entertainment news:  Crowded House rocks the Sydney Opera House
1213,Waterfront living without the hefty price tag
1214,Mashed potato murderer
1215,How firefighters saved Sydney’s west from bushfire
1216,The Vault is Opened
1217,Trending now: Hide and seek fail
1218,Trending now: Clumsy cat
1219,Trending now: Determined pooch
1220,Will John’s wedding end in disaster?
1221,170111_TDY_AUDITIONS.mp4
1222,Ben and Andy win the McCafe quality work site award again
1223,Wye River on The Great Ocean Road
1224,Painbow/Digital Shorts
1225,Safeguard
1226,Text message warrant update
1227,Wiggles wedding
1228,Love rat
1229,Tragedy at Bunnings
1230,Toni Pearen’s life in the spotlight
1231,Police resort to texting to issue warrant
1232,Michelle Bridges AVO
1233,eBay millionaires
1234,Woolworths lingerie
1235,The judges walk through Dan and Carleen's living and dining area that ‘doesn’t do anything’ for them
1236,The judges walk through Julia and Sasha's kids bedroom
1237,The judges walk through Will and Karlie's guest bedroom
1238,The judges walk through Dan and Carleen's main bathroom
1239,The judges walk through Ben and Andy's master bathroom
1240,Mid Week Blues
1241,"TODAY Highlights: December 28, 2016"
1242,How technology has changed the dating world
1243,The experts guide to breaking up
1244,Can you really change a partner?
1245,How to know if you're reason for a failed relationship
1246,How to tell a friend you hate their partner
1247,Battle of the sexes: What can we learn?
1248,Dining Room and Foyer Week Begins
1249,Peel of Fortune
1250,170111_TDY_TRENDING.mp4
1251,170111_TDY_WONDERWOMAN.mp4
1252,Little boy saves twin brother trapped under set of drawers
1253,Shelley's Wallpaper Challenge
1254,Triple Threat Radio
1255,Christmas budget blowout
1256,Sydney welcomes biggest cruise ship to ever visit Australia
1257,Man knocked unconscious in one-punch attack in Sydney
1258, Man punches kangaroo in the face to save dog being strangled
1259,Pablo Escobar - My father
1260,170111_TDY_PAYMENTS.mp4
1261,Julia shares a fun fact about their mirrored artwork
1262,Misfortune
1263,Looking in Lanikai
1264,One man’s search for love begins
1265,Couriers Please
1266,'The whole situation has put so much into perspective for me'
1267,Renovating Roller Coaster
1268, Protester arrested as trees cleared for WestConnex project
1269,Mental benefits of decluttering
1270,The eccentric Birrell Street in Tamarama
1271,Country Estates
1272,Power-Up Puff/Man Up
1273,The fate of Figgy and Taylor
1274,The best celebrity audition tapes
1275,Gen X and Millennials fight over Adam at Tribal Council
1276,Cheap airline flights
1277,"Entertainment News: Wednesday January 11, 2017"
1278,Australia Zoo and the Irwins’ awesome summer family fun
1279,Chale stands up to a larger male
1280,Great Getaways: Episode 43
1281,"Donna and Kendra play good cop, bad cop"
1282,Kevin tries give his daughter life advice
1283,Kevin's daughter announces her engagement
1284,Mystery Solvers Club State Finals
1285,Melbourne SkyRail opponents lose Supreme Court fight
1286,Gail and Juliette O'Brien
1287,9NEWS looks inside the Chadstone shopping redevelopment
1288,Shelley Craft's Challenge
1289,Teleprompter fails during Jimmy Fallon's Golden Globes monologue
1290,170111_TDY_FLIGHTS.mp4
1291,‘I’m scared of somebody leaving me’
1292,Businesses destroyed by raging Moorooka fire
1293,Campbell Point House
1294,Pauline Hanson attacks pension changes
1295, Multi-million-dollar yacht dropped from crane
1296, Reporter Brittney Kleyn given shock by bird
1297,Friends and family remember Paul Couch
1298,Promising new treatment could stop Alzheimer’s disease in its tracks
1299,Double blindside
1300,Meet the ordinary Aussies taking on the job of travel critics
1301,Freeze your fat
1302,Army vs army
1303,Reality starlet launches fashion collection
1304,Black Cabs Down Under
1305,Piracy ruling
1306,Aussie model taking the world by storm
1307,University dropout rates
1308,From cars to cannabis
1309,Pay TV wars
1310,What's wrong with Woolworths and Coles?
1311,The moment Will and Karlie won The Block
1312,Kitchen Week Chaos
1313,Shelley's Bedlam Challenge
1314,Kids cruise free
1315,Netball shake up
1316,Brave Angus
1317,Scott Cam for the Gold Logie
1318,Guest Bedrooms Continue
1319,"Trending now: Wednesday January 11, 2017"
1320,Toddler fights for life after snake bite
1321,Meet Queensland's Will and Karlie
1322,Christmas in Bethlehem
1323,Finally Home on Oahu
1324,Garage Vs Modern Makeover?
1325,Love Thy Neighbour Challenge
1326,Showdown in San Miguel
1327,Paw-some pet advice
1328,Ben and Sasha bicker as auction order is revealed
1329,How to make a difference using Change.org
1330,Lisa isn’t great at budgeting
1331,Queensland premier supports plans for a new Gold Coast casino
1332,Police continue search for evidence in Tiahleigh Palmer murder case
1333,Christmas road safety
1334,The judges walk through Will and Karlie’s 10/10 ‘urban oasis’ terrace
1335,Figgy hates Zeke
1336,Amy discovers that she's secretly popular
1337,Wiggles Wedding
1338,Restoration and Re-purposing Challenge
1339,The Wild Brood
1340,Tenant spy cam judgement day
1341,Sheldon want's to pump cerebrospinal fluid through his brain
1342,"Emma, Out of this world, 60 Minutes timeless: Katherine the great"
1343,Aussie terror threat: Professor Joseph Siracusa
1344,What to do when customers won’t pay up
1345,Gumtree warning
1346,Best Beach Houses
1347,Police seize one tonne of cocaine in joint operation
1348,Queensland's top performing high school students recognised for their outstanding results
1349, Woman launches racist rant at Coles
1350,Victorian Government faces blame after V/Line train crash
1351,New era of netball coming to 9GEM
1352,Florida shooting footage released
1353,Street race disgrace
1354,Twist in SouthConnex motorway saga
1355,"$10,000 Challenge"
1356,How to pick the right paint colour when painting walls
1357,How to create a timber feature wall
1358,The fight to keep a mass murderer behind bars
1359,Justin Timberlake’s school surprise
1360,"'Human beings are designed to have one baby at a time, that is what we do best'"
1361,The Heart of the Home
1362,'I'm sick of being f*****g treated like someone who needs a housewife'
1363, Deer approaches hunter for head scratch
1364,Alleged Sydney drunk driver leaves trail of damage
1365,The awkward first fight
1366,James struggles with flat pack bed
1367,Michael Atkins
1368, Parents race to Penrith childcare centre as fierce blaze burns nearby
1369,Girl Trouble
1370,Home Just Outside Of Honolulu
1371,Jailed TV star
1372,"Gable Tostee: The interview, Much ado about nothing, Sting"
1373,Reef robot
1374,"TODAY Highlights: January 11, 2017"
1375,Challenge Apartment Takes Shape
1376,Final bell rings on 65-year teaching career
1377,Catriona Rowntree's historic family farm
1378,Dan and Carleen take you on a tour of their entire apartment
1379,Ben and Andy take you on a tour of their entire apartment
1380,"Petra, Jordan"
1381,Hell Week continues
1382,Kyoto
1383, IMAX uploads The Mummy trailer with most of its soundtrack missing
1384,"""They’re looking for a path out of poverty, a better life"""
1385,How to change kitchen handles
1386,A matter of trust: Part one
1387,Will and Karlie’s ‘amazing' guest bedroom
1388,Dole dobbers
1389,First challenge reveal: Whitney and Andy
1390,First challenge reveal: Kingi and Caro
1391,First challenge reveal: Dean and Shay
1392,First challenge reveal: Luke and Ebony
1393,First challenge reveal: Suzi and Vonni
1394,Where Walks Aphrodite
1395,"Money Minute: Wednesday January 11, 2017"
1396,"Trending Now: Wednesday January 11, 2017"
1397,Entertainment News: Wonder Woman
1398, Spear-fisherman bitten by shark
1399,Blackman's back
1400,Entertainment news: George Michael’s back
1401, Manager publicly spanks employees
1402,Guest/Powder Room Renovations Continue
1403,Back to North County Dublin
1404, Weekend TODAY Show host Deb Knight falls for 'Anchorman' prank
1405,"People Think They're In Love Sometimes When They're Not, Are They?"
1406,Work begins on controversial construction of brand new Keperra Bunnings
1407,Wild weather lashes both US coasts
1408,The story of Lindy Chamberlain heads to the stage
1409,Will and Karlie's auction
1410,Mini bus crash wreaks havoc on the hospital
1411,Knock of Cash: A very special Mum
1412,Love birds
1413,Dan and Carleen's auction
1414,Grand Final Highlights: Australia v New Zealand
1415,Julia and Sasha's auction
1416,Will and Karlie show you around their winning room
1417,Fast5 Celebrity Match
1418,Double extra time Netball Final
1419,Former Diamond and Melbourne Vixens captain Bianca Chatfield
1420,Best on-screen kisses
1421,Playing House
1422,Entertainment news: Casey Affleck
1423,Budget Highs and Lows
1424,Welfare sting
1425,US restaurant owner gives ex-prisoners a chance to turn their lives around
1426, Store owner shares heartbreaking footage of floods in Picton main street
1427, Picton main street not visible after rising flood waters
1428,Budget Blowouts
1429,Ben and Andy reveal their awesome privacy glass door to Scott and Shelley
1430,Celebrity crushes and other curly questions
1431,Judge Justin moved to tears by the Johns family story
1432,The final goodbye
1433,Is this the end for Clare and Lachlan?
1434,Drones
1435,Loud Lamborghini
1436, US intelligence chief takes a swipe at Trump
1437,Camera house
1438,Caravan crashes
1439,Meet Australia's pickiest man
1440,"Who killed Josh?, The write stuff, 60 Minutes timeless: V8 Sheikh"
1441,Muslim man reveals dazzling Christmas lights display thirty years in the making
1442,Kim Kardashian returns to social media with family video
1443,Tribute to Tony Cozier
1444,Hot Christmas gadgets
1445,Episode 14
1446,Laundry and Staircase Reveal
1447,Dan and Dani judge Ben and Andy's 'high tea' table spread
1448,Dani takes charge
1449, US Police warn drivers after twenty-car pile up in snow
1450,Whale Waltz
1451,Gold Coast road rage attack leaves man unconsicous
1452,Michaela strips off bikini to win Reward Challenge
1453,Health news: Stress linked to obesity
1454,New documents reveal alleged conversations between Tiahleigh Palmer’s family members
1455,Septic tank remains identified as part of 30-year-old Brisbane cold case
1456,Queensland’s missing persons cases
1457,Parents send heartfelt plea after discovery of daughters remains
1458,Kevin takes a stand against trick-or-treaters
1459,Kids receive top secret hospital visit from Taylor Swift
1460,Sunday on 60 Minutes
1461,TV star AVO
1462,Saving the Children
1463,Dean and Shay: Welcome to my guest bedroom and ensuite
1464, Dean and Shay: Welcome to my second guest bedroom and ensuite
1465,Who Said It Was Tacky?
1466,Great Getaways: Episode 42
1467,Escape From Mystery Manor
1468, Prince Harry convinces the Queen to issue challenge to Obamas
1469,Sydney family business takes on Hollywood
1470,Scotty's Challenge featuring Shaynna Blaze
1471,Driving into Dublin
1472,Betty employs alternative remedies
1473,‘I miss you Carrie’
1474,Reboot of the nerds
1475,Six Sydney businesses destroyed in fire
1476,Epic Catch
1477,Road spikes end dramatic car chase
1478,Donna wants Kevin out of her book club
1479,Monica and Mark's beachside do
1480,The simple electricity contract tip that could save you hundreds
1481,Sammy visits the Quambatook Tractor Pull
1482,Tullamarine tool shop targeted for sixth time by ram raiders
1483,What’s the best thing about being rich?
1484,Challenge Apartment Rooms Revealed
1485,Winter Forecast/Marble Madness
1486,Tradies who saved bank fire victims urged to step forward
1487,Three people injured after gunmen open fire at Istanbul restaurant
1488, Polish nuns perform flash mob dance ahead of World Youth Day
1489, CCTV captures violent alcohol-fuelled Melbourne assault
1490, All-ability cheerleaders win first place at Sydney competition
1491,Former Sydney judge dies after being found unconscious in backyard pool
1492,Alex McKinnon: Part one
1493, Is this video of a Sydney woman being chased by a bear while snowboarding the real deal?
1494,Daniel Morcombe: Tracking his killer - Part one
1495,"The sum of us, Plane wrong, Facetime"
1496,Great Getaways: Episode 44
1497,Alex McKinnon: Part two
1498,Great Getaways: Episode 41
1499,Police catch teens wanted over a violent south-east Queensland crime spree
1500,TV Bust-ups
1501,Follow the Leader/Treasure of Tut-n-Bunny
1502,Master Ensuite Room Reveal
1503,Guest Bedrooms And Ensuite Reveal
1504,Police pursuits under scrutiny after deadly Perth car crash
1505,The Big Story
1506,New era of netball
1507,Oregon Couple Seeks Hawaii Sun
1508,Bedroom Begins
1509,Boyd puts his hand up to lead Broncos
1510,Chemical factory burn-off in Sydney's south sends smoke billowing across city
1511,Kitchen Capers Challenge
1512,Wild weather wreaks havoc in south-east Queensland
1513,No More Lost Property
1514,Kitchen Room Reveal
1515,The moment a Sydney bus was hit by a rogue excavator
1516,Sydney man stumbles after allegedly driving six times over the limit
1517,'She was a beautiful human being. And not to have her…it’s devastating'
1518, Melbourne’s first wave pool will be ‘twice as big as the MCG’
1519,The stars and celebrities we lost in 2016
1520, Burrumbuttock Hay Runners reach donation targets
1521,Donald Trump says hacking didn't affect US election result
1522,Clarendon Eyre with Dee Dee Dunleavy
1523,Massage Warning
1524,Scenic Cambodia & Vietnam I
1525,Episode 31
1526,The real reason for Hugh's return is revealed
1527,Alex McKinnon: Part three
1528,Alex McKinnon: Part four
1529,Centrelink chaos
1530,Multi-purpose cleaners
1531,Kidnap hostage ransom
1532,Ruby Rose and her dog shared a blow-up mattress before finding fame
1533,Couple Moves to the Big Island
1534,Shelley And Scotty's Mid Week Visit
1535,Dining Rooms and Foyers Revealed
1536,"Ben Affleck, Ruby Rose"
1537,Someone leaves The Block
1538,Tuckered Boys/Water Park
1539,Men’s shed
1540,Monster surfing
1541,Whisky business
1542,The Battle Of The Seagrass Wallpaper
1543,Elderly residents still without home phone lines after Adelaide storm
1544,Friends remember teenage driver killed in Melbourne car crash
1545,New details emerge about man accused of starting Springvale bank fire
1546,Sunscreen secrets
1547,Emotional scenes outside Springvale bank
1548,CCTV captures man in Springvale with bottle of fuel
1549,Gumtree gang
1550,Tammin’s triumph over bullies
1551,"""I thought my life might be better… But it turned out so horrible"""
1552,Entertainment news: Why Him?
1553,Woe continues for Dragons
1554, Police stop ute with 12 people crammed inside in Queensland
1555,Brisbane’s cheapest petrol suburbs revealed
1556,Carrie Fisher on Harrison Ford affair: 'I was in infatuation'
1557,Jessica Alba shots tequila while Ellen ruins her hair
1558,Secret Cargo
1559,Schoolies celebrations continue on Gold Coast
1560, Drunk monkey grabs knife
1561,Cranky Pete
1562,Christmas hampers
1563,The Foghorn Leghorn Story
1564,The sting (1997)
1565,Living and Dining Rooms Revealed
1566,Jimmy Fallon discusses hosting the Golden Globes
1567,Jimmy Fallon plays a game of Speak Out
1568,Robber caught stealing snakes from Sydney pet shop
1569,Roxy Jacenko gets props from her two-year-old
1570,The Block Audit
1571,Blockheads Blog: Couples sing their theme songs for the week
1572,Bathroom Room Reveal
1573,Open Mike Knight
1574,Move into The Block
1575,Charity Make-over Challenge
1576,170111_RAW_ATTICUS.mp4
1577,Melbourne scientists develops treatment for tendon pain
1578,South Australians swelter through extreme heat
1579,Sydney teenager with deadly reaction to cold owes life to blood donors
1580,New Years Eve fireworks
1581, Rollercoaster stuck at Movie World on the Gold Coast
1582,Translate This
1583,Diet deals
1584,One Apartment Five Couples
1585,Robbie Williams: Live In Tallinn
1586,Online sale frenzy
1587, Barack Obama delivers farewell address in Chicago
1588,Breakthrough asthma pill
1589,Exclusive and Unseen: 'I'm trying not to cry...we are just in shock'
1590,Re-live this great moment from The Block and vote
1591,TODAY loves the Gold Coast: NASA’s new mission
1592,Federal Health Minister asked to explain why she bought an apartment while on taxpayer funded trip
1593, Great white sharks spotted swimming off Victoria’s coast
1594,New Year’s Eve fever hits Sydney suburbs
1595,Fire rips through Brisbane businesses
1596,#Roxy: Part one
1597,"'There's been car chases, they follow us to the park'"
1598,Black Gold
1599,The Laziest / The Ghost
1600,Marathon runner proposes to girlfriend
1601,Woman dies after boat capsizes in Brisbane
1602,New breakthrough in world-first eczema trials
1603,"The Farm, Byron Bay"
1604,Jamie Durie helps Liverpool power ahead to become a major hub
1605,Elias' advice to kids
1606,Fatal distraction: Part two
1607,Fatal distraction: Part one
1608, Hungry Venezuelan citizens scramble for food
1609,"Mates, Terror in Brussels, Dirty secret, War criminal"
1610,The judges walk through Chris and Kim's overwhelming living and dining area
1611,Butter Fingers
1612,Unwanted
1613,Most Outstanding Actress
1614,Most Outstanding Actor
1615,'Who's this malaka?'
1616,Julia Morris needs a hero
